Search Stats:
                                                 
# of Builds + TBR  7443
# of Fuse          34035
# of Ratchets      3689
                                 
Tree length        Number of hits
13696.             77
13698.             1
13701.             2
13703.             1
13712.             1
13717.             1
13729.             4
13730.             1
13734.             1
13737.             1
13742.             1
13776.             1
13777.             1
13797.             1
13811.             1

